Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Serbia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,3.93,3.54,3.73,3.37,3.56,4.09,4.87,5.58,4.82,4.13,7.59,8.33,7.7,6.87,9.64,7.85,6.54,6.1,5.26,5.29,9.25,7.72,7.68,3.17,3.93,4.46,7.29,7.23,9.8
Equatorial Guinea,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,3.89,2.76,2.22,3.22,4.23,5.34,6.62,6.52,6.12,6.07,5.87,4.54,5.56,4.61,2.6,1.97,1.92,0.52,0.06,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Denmark,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,3.67,3.72,3.55,3.4,3.46,3.45,3.68,3.98,4.0,3.81,4.64,5.14,5.32,5.16,5.35,5.22,5.19,5.59,5.39,5.71,5.65,5.82,5.9,5.97,5.73,5.69,5.75,5.89,5.46
Nepal,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,3.41,3.19,2.78,2.23,1.94,1.35,1.73,1.45,1.23,0.76,0.75,0.81,0.62,1.02,0.66,0.77,0.64,1.27,1.12,1.04,0.31,0.29,0.3,0.35,0.33,0.19,0.15,0.26,0.2
Afghanistan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,3.29,3.44,2.95,2.89,3.67,3.34,3.23,4.16,2.39,1.67,1.21,0.74,0.35,0.35,0.24,0.49,0.56,0.23,0.23,0.25,0.28,0.3,0.32,0.34,0.36,0.38,0.39,0.53,0.57
Kenya,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,3.19,4.04,4.12,4.03,3.5,2.6,2.3,3.08,2.73,2.11,2.13,2.19,2.33,1.85,1.61,1.65,1.82,1.61,1.43,1.29,1.43,1.65,1.86,1.65,1.64,1.57,1.48,1.4,1.41
Dominican Republic,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,3.12,3.2,3.19,2.91,2.84,3.14,2.53,2.36,2.8,2.42,2.37,2.27,2.41,1.8,1.6,2.07,2.08,1.26,1.28,1.12,1.02,1.26,1.08,0.98,0.91,0.72,0.84,0.75,0.8
Jamaica,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,2.92,1.88,2.31,2.18,2.43,2.57,1.94,1.98,1.64,1.94,4.0,5.12,5.16,3.25,3.15,1.93,1.91,2.02,1.99,1.93,1.79,1.67,1.74,1.42,2.61,1.8,2.9,3.88,3.74
Syria,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,2.86,3.03,2.77,2.67,3.0,3.24,5.01,6.57,7.35,6.03,7.59,7.53,6.89,6.31,4.5,5.73,5.35,5.56,5.37,5.82,6.07,4.84,5.32,4.98,4.64,4.23,3.91,3.67,2.97
Bosnia and Herzegovina,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,2.39,2.18,2.05,2.11,2.01,2.23,1.81,1.79,1.61,1.37,1.28,1.21,1.13,1.07,0.81,0.39,1.49,1.33,1.5,0.43,0.46,0.56,0.35,0.67,0.65,2.72,3.66,5.77,5.91
Bolivia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,2.38,2.35,2.27,2.25,2.24,2.08,1.88,1.75,1.57,1.53,1.38,1.33,1.27,1.06,1.01,0.94,0.91,0.84,0.88,0.94,0.92,0.83,0.75,0.88,0.81,0.73,0.73,0.72,0.77
Croatia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,2.37,2.36,2.18,2.18,2.26,2.3,2.32,2.67,2.88,3.06,3.78,3.73,3.66,3.52,3.41,2.99,2.95,3.07,2.89,2.78,2.93,2.93,2.52,2.64,2.89,2.74,2.9,3.38,5.31
Ecuador,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,2.36,2.1,2.21,3.19,3.73,3.49,3.06,2.89,2.83,2.7,2.34,2.04,2.72,2.88,2.74,2.78,2.9,2.68,2.73,2.93,3.2,3.06,3.02,2.68,2.78,2.49,2.77,2.53,2.41
Turkmenistan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,2.35,2.35,2.35,2.35,2.35,2.22,2.14,1.92,1.52,1.48,1.05,1.04,0.89,0.85,0.81,0.77,0.69,0.68,0.65,0.64,0.52,0.55,0.54,0.67,0.64,0.47,0.33,0.66,0.73
Ghana,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,2.31,2.04,1.68,1.79,1.65,1.7,1.64,1.43,1.26,1.31,1.13,1.04,1.02,0.94,0.9,0.82,0.83,0.65,0.68,0.66,0.59,0.51,0.5,0.45,0.41,0.35,0.34,0.29,0.3
Bahrain,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,2.17,1.95,2.12,2.09,2.16,1.76,0.43,0.79,0.72,0.3,0.24,0.21,0.19,0.17,0.14,0.12,0.13,0.13,0.08,0.08,0.08,0.07,0.05,0.05,0.03,0.03,0.03,0.03,0.03
Mongolia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.96,1.77,1.43,1.49,1.89,2.21,2.42,1.99,1.62,1.41,1.62,1.59,2.19,0.75,0.7,0.69,0.65,0.61,0.63,0.87,0.98,1.54,1.1,1.95,1.82,2.41,2.65,3.43,2.81
Guatemala,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,1.95,1.95,2.04,1.98,1.82,1.72,1.67,1.68,1.34,1.27,1.48,1.89,1.57,1.46,0.94,1.08,1.03,1.34,1.3,1.13,1.29,1.25,1.22,1.29,1.09,1.04,0.84,0.76,0.71
